,pk_1,pk_2,pk_3,pk_4,pk_5,data_1,data_2
602,196,10310,22,11010,100074232,29,1109.67
603,196,10319,22,11010,100074232,41,1568.82
604,196,10320,22,11010,100074232,12,459.18
605,196,10322,22,11010,100074232,306,11708.86
606,196,10349,22,11010,100074232,12,459.12
607,196,10350,22,11010,100074232,45,1721.78
608,196,10308,22,11010,100074232,58,2219.21
609,196,10334,22,11010,100074232,76,2908.09
610,196,10335,22,11010,100074232,15,573.96
611,236,1582,22,11010,100074232,12,137.35
612,236,1583,22,11010,100074232,76,866.58
613,236,1584,22,11010,100074232,44,503.21
614,236,1559,22,11010,100074232,15,170.27
615,215,1003,15,11072,101000867,-2,-58.48
616,196,10299,15,11072,101000867,2,262.19
617,196,10322,15,11072,101000867,10,1275.75
618,175,1871,15,11072,101000867,3,101.02
619,182,1069,15,11072,101000867,6,142.11
620,215,972,15,11072,101000883,6,238.2
621,215,1002,15,11072,101000883,10,394.7
622,215,1003,15,11072,101000883,4,158.13
